status,title,normalized_title,doi,openalex_id,arxiv_id,published_date,criteria_hash,source,updated_at,round
include,Recent Advances in Discrete Speech Tokens: A Review,recentadvancesindiscretespeechtokens:areview,10.48550/arxiv.2502.06490,,2502.06490,2025-02-10,f84221d054a803ad95a17603644a25baad70b61eee481db03ed19d5879ab99fc,base_review,2026-01-07T18:15:18.216239+00:00,0
include,Personalized Acoustic Modeling by Weakly Supervised Multi-Task Deep Learning using Acoustic Tokens Discovered from Unlabeled Data,personalizedacousticmodelingbyweaklysupervisedmulti-taskdeeplearningusingacoustictokensdiscoveredfromunlabeleddata,10.1109/icassp.2017.7953141,,1706.07793,2017-06-23,f84221d054a803ad95a17603644a25baad70b61eee481db03ed19d5879ab99fc,base_review,2026-01-07T18:15:18.216239+00:00,0
include,u-HuBERT: Unified Mixed-Modal Speech Pretraining And Zero-Shot Transfer to Unlabeled Modality,u-hubert:unifiedmixed-modalspeechpretrainingandzero-shottransfertounlabeledmodality,10.48550/arxiv.2207.07036,,2207.07036,2022-07-14,f84221d054a803ad95a17603644a25baad70b61eee481db03ed19d5879ab99fc,base_review,2026-01-07T18:15:18.216239+00:00,0
include,token2vec: A Joint Self-Supervised Pre-training Framework Using Unpaired Speech and Text,token2vec:ajointself-supervisedpre-trainingframeworkusingunpairedspeechandtext,10.48550/arxiv.2210.16755,,2210.16755,2022-10-30,f84221d054a803ad95a17603644a25baad70b61eee481db03ed19d5879ab99fc,base_review,2026-01-07T18:15:18.216239+00:00,0
include,BEATs: Audio Pre-Training with Acoustic Tokenizers,beats:audiopre-trainingwithacoustictokenizers,10.48550/arxiv.2212.09058,,2212.09058,2022-12-18,f84221d054a803ad95a17603644a25baad70b61eee481db03ed19d5879ab99fc,base_review,2026-01-07T18:15:18.216239+00:00,0
include,Neural Codec Language Models are Zero-Shot Text to Speech Synthesizers,neuralcodeclanguagemodelsarezero-shottexttospeechsynthesizers,10.48550/arxiv.2301.02111,,2301.02111,2023-01-05,f84221d054a803ad95a17603644a25baad70b61eee481db03ed19d5879ab99fc,base_review,2026-01-07T18:15:18.216239+00:00,0
include,InstructTTS: Modelling Expressive TTS in Discrete Latent Space with Natural Language Style Prompt,instructtts:modellingexpressivettsindiscretelatentspacewithnaturallanguagestyleprompt,10.48550/arxiv.2301.13662,,2301.13662,2023-01-31,f84221d054a803ad95a17603644a25baad70b61eee481db03ed19d5879ab99fc,base_review,2026-01-07T18:15:18.216239+00:00,0
include,"Speak, Read and Prompt: High-Fidelity Text-to-Speech with Minimal Supervision","speak,readandprompt:high-fidelitytext-to-speechwithminimalsupervision",10.48550/arxiv.2302.03540,,2302.03540,2023-02-07,f84221d054a803ad95a17603644a25baad70b61eee481db03ed19d5879ab99fc,base_review,2026-01-07T18:15:18.216239+00:00,0
include,Speech Enhancement with Multi-granularity Vector Quantization,speechenhancementwithmulti-granularityvectorquantization,10.48550/arxiv.2302.08342,,2302.08342,2023-02-16,f84221d054a803ad95a17603644a25baad70b61eee481db03ed19d5879ab99fc,base_review,2026-01-07T18:15:18.216239+00:00,0
include,FoundationTTS: Text-to-Speech for ASR Customization with Generative Language Model,foundationtts:text-to-speechforasrcustomizationwithgenerativelanguagemodel,10.48550/arxiv.2303.02939,,2303.02939,2023-03-06,f84221d054a803ad95a17603644a25baad70b61eee481db03ed19d5879ab99fc,base_review,2026-01-07T18:15:18.216239+00:00,0
include,Speak Foreign Languages with Your Own Voice: Cross-Lingual Neural Codec Language Modeling,speakforeignlanguageswithyourownvoice:cross-lingualneuralcodeclanguagemodeling,10.48550/arxiv.2303.03926,,2303.03926,2023-03-07,f84221d054a803ad95a17603644a25baad70b61eee481db03ed19d5879ab99fc,base_review,2026-01-07T18:15:18.216239+00:00,0
include,Cocktail HuBERT: Generalized Self-Supervised Pre-training for Mixture and Single-Source Speech,cocktailhubert:generalizedself-supervisedpre-trainingformixtureandsingle-sourcespeech,10.48550/arxiv.2303.11131,,2303.11131,2023-03-20,f84221d054a803ad95a17603644a25baad70b61eee481db03ed19d5879ab99fc,base_review,2026-01-07T18:15:18.216239+00:00,0
include,Unsupervised Speech Representation Pooling Using Vector Quantization,unsupervisedspeechrepresentationpoolingusingvectorquantization,10.48550/arxiv.2304.03940,,2304.03940,2023-04-08,f84221d054a803ad95a17603644a25baad70b61eee481db03ed19d5879ab99fc,base_review,2026-01-07T18:15:18.216239+00:00,0
